Date,Amount,Description,Category,Source
2019-09-03,-8.79,AMAZON MUSIC*MO4JS42888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-09-06,-16.5,GOOGLE*HBO DIG SV IN G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-09-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-09-07,-33.6,SUSHI JOA RESTAURANT,Restaurant-Restaurant,AMEX DELTA
2019-09-08,-9.89,MUD BAY,Merchandise & Supplies-General Retail,AMEX DELTA
2019-09-09,-23.07,AMAZON.COM*GS17K61T3AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-09-10,-51.82,WHOLE FOODS MARKET,Merchandise & Supplies-Groceries,AMEX DELTA
2019-09-10,-48.82,TST* DERBY,Restaurant-Restaurant,AMEX DELTA
2019-09-13,-33.08,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-09-15,-89.74,NO BONES BEACH CLUB,Restaurant-Restaurant,AMEX DELTA
2019-09-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-09-17,-25.73,UPS/NWR/0076-025,Business Services-Mailing & Shipping,AMEX DELTA
2019-09-17,-125.24,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-09-20,-55.0,NWMHD.ORG,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-09-20,-70.0,ALASKA AIRLINES     SEATTLE             WA,Travel-Airline,AMEX DELTA
2019-09-22,-107.74,STAGE COACH GRILLE,Restaurant-Restaurant,AMEX DELTA
2019-09-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-09-23,-126.49,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-09-23,-32.36,RIB & CHOP HOUSE- AC,Restaurant-Restaurant,AMEX DELTA
2019-09-24,-70.0,ALASKA AIRLINES     SEATTLE             WA,Travel-Airline,AMEX DELTA
2019-09-25,-149.0,STIA PUBLIC PARKING,Other-Government Services,AMEX DELTA
2019-09-25,-28.74,MAVERIK 402,Transportation-Fuel,AMEX DELTA
2019-09-25,-52.0,FLYING SQUIRREL PIZZA CO,Restaurant-Restaurant,AMEX DELTA
2019-09-25,-131.99,DROPBOX*BM7HR9NPLGKYSAN FRANCISCO       CA,Other-Miscellaneous,AMEX DELTA
2019-09-25,-238.37,AVIS RENT A CAR US43LAS VEGAS           NV,Travel-Vehicle Rental,AMEX DELTA
2019-09-25,-13.58,THE MARKETPLACE 0000LAS VEGAS           NV,Transportation-Fuel,AMEX DELTA
2019-09-27,-27.66,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-09-27,-22.63,PHISH DRY GOODS,Business Services-Conferences & Training,AMEX DELTA
2019-09-28,-30.59,TST* ELEMENTAL PIZZA,Restaurant-Restaurant,AMEX DELTA
2019-09-30,-136.38,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-09-30,-57.09,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-01,-42.23,RED COW,Restaurant-Restaurant,AMEX DELTA
2019-10-01,-29.28,THE PUMPHOUSE BAR & GRILL,Restaurant-Restaurant,AMEX DELTA
2019-10-01,-52.78,Logo Sportswear,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-10-01,-104.5,BELLEVUE GUN CLUB,Entertainment-Associations,AMEX DELTA
2019-10-01,2112.32,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-10-01,-51.44,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-10-03,-1027.0,MIDWAY USA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-03,-8.79,AMAZON MUSIC*7U37R6Z888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-04,-34.48,AMAZON.COM*566VB8KL3AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-04,-18.72,AMAZON.COM*PJ5XO4GO3AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-04,-10.29,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-10-04,-10.52,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-10-05,-3.76,PAULSMOWERR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-10-05,-0.38,EBAY INC,Communications-Other Telecom,AMEX DELTA
2019-10-05,-120.0,PBPSA USPSA,Entertainment-Associations,AMEX DELTA
2019-10-06,-59.18,JARRBAR,Restaurant-Restaurant,AMEX DELTA
2019-10-06,-16.5,GOOGLE*HBO DIG SV IN G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-10-07,-1.99,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-10-12,-49.67,AMAZON.COM*3D6L00E23AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-10-13,-30.0,SEATTLE TIMES COMPANY,Business Services-Advertising Services,AMEX DELTA
2019-10-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-10-17,-123.91,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-10-19,-29.46,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-10-19,-18.99,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-10-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-10-23,-126.49,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-10-29,-10.99,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-11-01,3430.26,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-11-03,-24.99,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-03,-10.99,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-03,-70.97,AMAZON.COM*FG2692YU3AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-03,-8.79,AMAZON MUSIC*OX4SW1L888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-04,-9.89,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-11-06,-16.5,GOOGLE*HBO DIG SV IN G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-11-07,-1.99,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-11-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-11-18,15.0,SEATTLE TIMES SeattlSEATTLE             WA,Business Services-Advertising Services,AMEX DELTA
2019-11-19,-123.91,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-11-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-11-23,-126.49,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-11-30,-17.98,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-11-30,-13.93,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-11-30,-4.0,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-11-30,449.3,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-12-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-12-03,-100.41,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-12-04,-14.25,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-04,-39.64,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-05,-22.03,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-05,-19.49,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-12-06,-19.39,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-06,-45.63,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-07,-1.99,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-12-08,-126.79,TAVOLATA,Restaurant-Restaurant,AMEX DELTA
2019-12-08,-14.0,MURPHY'S IRISH PUB,Restaurant-Restaurant,AMEX DELTA
2019-12-08,-44.29,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-09,-11.62,Target,Merchandise & Supplies-Wholesale Stores,AMEX DELTA
2019-12-13,-47.81,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-12-15,-43.06,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-15,-61.32,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-16,-14.96,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-16,-16.8,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-17,-123.91,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-12-17,-12.69,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-17,-16.33,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-17,-12.24,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-18,-17.99,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-18,-14.22,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-18,-11.73,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-19,-13.94,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-19,-11.69,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-19,-15.94,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-20,-18.33,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-20,-47.48,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-20,-61.31,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-12-21,-988.9,GOOGLE *GOOGLE FI   G.CO/HELPPAY#       CA,Other-Miscellaneous,AMEX DELTA
2019-12-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-12-23,-126.49,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
