All Activity Types,,,,,,,,,,,
,,,,,,,,,,,
Account Activity for All Accounts from 01/01/2020 - 12/31/2020,,,,,,,,,,,
,,,,,,,,,,,
Activity Date,Transaction Date,Account,Activity,Check Number,Card Number,Description,Symbol,Cusip,Quantity,Price($),Amount($)
07/21/2020,07/21/2020,New Roth IRA - 5445,Refund,,,GUGGENHEIM MNGD FUTRS,-,-,0.000,0.00,0.03
07/21/2020,07/21/2020,IRA Standard - 5359,Refund,,,GUGGENHEIM MNGD FUTRS,-,-,0.000,0.00,0.23
07/21/2020,07/21/2020,New Roth IRA - 5445,Service Fee,,,NET PLATFORM FEE PLATFORM FEE          ($20.54) PLATFORM CREDIT        $20.49,-,-,0.000,0.00,-0.05
07/21/2020,07/21/2020,IRA Standard - 5359,Service Fee,,,NET PLATFORM FEE PLATFORM FEE          ($20.52) PLATFORM CREDIT        $20.47,-,-,0.000,0.00,-0.05
07/21/2020,07/21/2020,Main Investment - 7145,Service Fee,,,NET PLATFORM FEE PLATFORM FEE          ($29.54) PLATFORM CREDIT        $29.47,-,-,0.000,0.00,-0.07
07/20/2020,07/20/2020,Main Investment - 7145,Bought,,,AT&T INC,T,00206R102,334.000,29.92,"-9,992.61"
07/20/2020,07/20/2020,New Roth IRA - 5445,Refund,,,COLUMBIA LARGE CAP GW,-,-,0.000,0.00,0.20
07/17/2020,07/17/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,356.85"
07/16/2020,07/16/2020,Checking - 6312,Mobile Deposit,,,FUNDS RECEIVED CONFIRM#3200003102007,-,-,0.000,0.00,358.04
07/13/2020,07/13/2020,Checking - 6312,Automated Payment,,,BK OF AMER VISA  ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,"-1,194.92"
07/10/2020,07/10/2020,Main Investment - 7145,Qualified Dividend,,,ALTRIA GROUP INC,MO,02209S103,0.000,0.00,590.52
07/09/2020,07/09/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD IRS  TREAS 310 TAX REF,-,-,0.000,0.00,415.00
07/08/2020,07/08/2020,IRA Standard - 5359,Dividend,,,ISHARES JP MORGAN EM BOND ETF,EMB,464288281,0.000,0.00,27.04
07/08/2020,07/08/2020,Main Investment - 7145,Service Fee,,,ADV FEE 07/01-07/31,-,-,0.000,0.00,-251.56
07/07/2020,07/07/2020,Main Investment - 7145,Bought,,,INTL BUSINESS MACHINES CORP,IBM,459200101,100.000,119.07,"-11,906.78"
07/07/2020,07/07/2020,IRA Standard - 5359,Dividend,,,SPDR BBG BARC HIGH YIELD BND,JNK,78468R622,0.000,0.00,37.37
07/07/2020,07/07/2020,New Roth IRA - 5445,Service Fee,,,ADV FEE 06/30-07/31 IRA/653,-,-,0.000,0.00,-182.04
07/07/2020,07/07/2020,IRA Standard - 5359,Service Fee,,,ADV FEE 06/30-07/31 IRA/653,-,-,0.000,0.00,-182.32
07/06/2020,07/06/2020,Main Investment - 7145,Bought,,,COCA COLA CO UNSOLICITED TRADE,KO,191216100,266.000,45.06,"-11,985.35"
07/02/2020,07/02/2020,Checking - 6312,Automated Payment,,,AMEX EPAYMENT    ACH PMT CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-114.95
07/02/2020,07/02/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,819.36"
07/01/2020,07/01/2020,New Roth IRA - 5445,Class Exchange,,,COLUMBIA LARGE CAP GW OPP INST SHARE CLASS CONVERSION,NFEPX,19765H230,"1,389.386",0.00,"-29,871.80"
07/01/2020,07/01/2020,New Roth IRA - 5445,Class Exchange,,,COLUMBIA LARGE CAP GW OPP A SHARE CLASS CONVERSION,NFEAX,19765H263,"1,535.825",0.00,"29,871.80"
07/01/2020,07/01/2020,New Roth IRA - 5445,Sold,,,GUGGENHEIM MNGD FUTRS STRAT P CONFIRM NBR UNSOLICITED TRADE,RYMFX,78356A491,237.754,19.11,"4,543.48"
07/01/2020,07/01/2020,New Roth IRA - 5445,Bought,,,VANGUARD REAL ESTATE ETF,VNQ,922908553,114.000,78.80,"-8,983.20"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,INTL BUSINESS MACHINES CORP UNSOLICITED TRADE,IBM,459200101,41.000,119.76,"-4,909.96"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,APPLE INC IRA/MAINT FROM 144-156410,AAPL,037833100,189.000,0.00,"68,947.20"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,APPLE INC IRA/MAINT TO 144-025445,AAPL,037833100,189.000,0.00,"-68,947.20"
06/30/2020,06/30/2020,old Roth IRA - 6410,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA,MSPBNA,061871976,0.000,0.00,0.10
06/30/2020,06/30/2020,IRA Standard - 5359,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 06/17-06/30),MSBNK,061870903,0.000,0.00,0.15
06/30/2020,06/30/2020,Main Investment - 7145,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 06/01-06/30),MSBNK,061870903,0.000,0.00,1.02
06/30/2020,06/30/2020,Checking - 6312,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 06/01-06/30),MSBNK,061870903,0.000,0.00,0.26
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,COLUMBIA LARGE CAP GW OPP A CONFIRMATION # 573872487 FROM 144-156410,NFEAX,19765H263,"1,535.825",0.00,"29,579.98"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,COLUMBIA LARGE CAP GW OPP A CONFIRMATION # 573872487 TO 144-025445,NFEAX,19765H263,"1,535.825",0.00,"-29,579.98"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,GUGGENHEIM MNGD FUTRS STRAT P CONFIRMATION # 573872398 FROM 144-156410,RYMFX,78356A491,237.754,0.00,"4,562.49"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,GUGGENHEIM MNGD FUTRS STRAT P CONFIRMATION # 573872398 TO 144-025445,RYMFX,78356A491,237.754,0.00,"-4,562.49"
06/30/2020,06/30/2020,IRA Standard - 5359,Sold,,,GUGGENHEIM MNGD FUTRS STRAT P CONFIRM NBR,RYMFX,78356A491,285.303,19.19,"5,474.96"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,LEGG MASON CLEARBRIDGE SEL I CONFIRM NBR,LBFIX,52467P465,279.252,35.81,"-10,000.00"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,ALPHABET INC CL C IRA/MAINT FROM 144-156410,GOOG,02079K107,3.000,0.00,"4,240.83"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,ALPHABET INC CL C IRA/MAINT TO 144-025445,GOOG,02079K107,3.000,0.00,"-4,240.83"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,ALPHABET INC CL A IRA/MAINT FROM 144-156410,GOOGL,02079K305,3.000,0.00,"4,254.15"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,ALPHABET INC CL A IRA/MAINT TO 144-025445,GOOGL,02079K305,3.000,0.00,"-4,254.15"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,GENERAL MTRS CO,GM,37045V100,397.000,25.17,"-9,990.51"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,INVESCO DB COMMODITY INDEX TRA IRA/MAINT FROM 144-156410,DBC,46138B103,250.000,0.00,"3,077.50"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,INVESCO DB COMMODITY INDEX TRA IRA/MAINT TO 144-025445,DBC,46138B103,250.000,0.00,"-3,077.50"
06/30/2020,06/30/2020,IRA Standard - 5359,Sold,,,INVESCO DB COMMODITY INDEX TRA,DBC,46138B103,280.000,12.23,"3,422.92"
06/30/2020,06/30/2020,New Roth IRA - 5445,Sold,,,INVESCO DB COMMODITY INDEX TRA,DBC,46138B103,250.000,12.31,"3,076.18"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,AT&T INC UNSOLICITED TRADE,T,00206R102,333.000,29.95,"-9,972.68"
06/30/2020,06/30/2020,New Roth IRA - 5445,Bought,,,CHEVRON CORP UNSOLICITED TRADE,CVX,166764100,112.000,88.86,"-9,951.98"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,ISHARES RUSSELL MID-CAP ETF IRA/MAINT FROM 144-156410,IWR,464287499,248.000,0.00,"13,292.80"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,ISHARES RUSSELL MID-CAP ETF IRA/MAINT TO 144-025445,IWR,464287499,248.000,0.00,"-13,292.80"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,ALTRIA GROUP INC UNSOLICITED TRADE,MO,02209S103,255.000,39.20,"-9,995.97"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,ISHARES US INDUSTRIALS ETF IRA/MAINT FROM 144-156410,IYJ,464287754,106.000,0.00,"15,985.86"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,ISHARES US INDUSTRIALS ETF IRA/MAINT TO 144-025445,IYJ,464287754,106.000,0.00,"-15,985.86"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,ISHARES RUSSELL 1000 GRW ETF IRA/MAINT FROM 144-156410,IWF,464287614,130.000,0.00,"24,953.50"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,ISHARES RUSSELL 1000 GRW ETF IRA/MAINT TO 144-025445,IWF,464287614,130.000,0.00,"-24,953.50"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,FORD MOTOR CO NEW UNSOLICITED TRADE,F,345370860,834.000,5.99,"-4,991.49"
06/30/2020,06/30/2020,IRA Standard - 5359,Bought,,,VERIZON COMMUNICATIONS UNSOLICITED TRADE,VZ,92343V104,91.000,54.75,"-4,982.25"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,SPDR S&P 500 ETF TRUST IRA/MAINT FROM 144-156410,SPY,78462F103,49.000,0.00,"15,109.64"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,SPDR S&P 500 ETF TRUST IRA/MAINT TO 144-025445,SPY,78462F103,49.000,0.00,"-15,109.64"
06/30/2020,06/30/2020,New Roth IRA - 5445,Transfer into Account,,,VANGUARD REAL ESTATE ETF IRA/MAINT FROM 144-156410,VNQ,922908553,113.000,0.00,"8,873.89"
06/30/2020,06/30/2020,old Roth IRA - 6410,Transfer out of Account,,,VANGUARD REAL ESTATE ETF IRA/MAINT TO 144-025445,VNQ,922908553,113.000,0.00,"-8,873.89"
06/30/2020,06/30/2020,old Roth IRA - 6410,Dividend,,,VANGUARD REAL ESTATE ETF,VNQ,922908553,0.000,0.00,85.72
06/30/2020,06/30/2020,IRA Standard - 5359,Dividend,,,VANGUARD REAL ESTATE ETF,VNQ,922908553,0.000,0.00,96.34
06/30/2020,06/30/2020,Checking - 6312,Automated Payment,,,S. Landau Servic Payment CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-392.00
06/30/2020,06/30/2020,Checking - 6312,Automated Payment,,,CAPITAL ONE      CRCARDPMT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-22.96
06/30/2020,06/30/2020,New Roth IRA - 5445,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/MAINT Transfer FROM XXX-XX6410,-,-,0.000,0.00,"13,643.41"
06/30/2020,06/30/2020,old Roth IRA - 6410,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/MAINT Transfer TO XXX-XX5445,-,-,0.000,0.00,"-13,643.41"
06/29/2020,06/29/2020,Checking - 6312,Automated Payment,,,COZY             Mahle CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-2,175.00"
06/29/2020,06/29/2020,Checking - 6312,Mobile Deposit,,,FUNDS RECEIVED CONFIRM#3200003050043,-,-,0.000,0.00,32.68
06/26/2020,06/26/2020,Checking - 6312,Automated Payment,,,PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-55.19
06/25/2020,06/25/2020,IRA Standard - 5359,Dividend,,,ENERGY SEL SECT SPDR FD,XLE,81369Y506,0.000,0.00,97.20
06/25/2020,06/25/2020,Main Investment - 7145,Dividend,,,ENERGY SEL SECT SPDR FD,XLE,81369Y506,0.000,0.00,553.65
06/25/2020,06/25/2020,IRA Standard - 5359,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/961/C/T/G/Z Rollover FROM XXX-XX8275,-,-,0.000,0.00,0.35
06/25/2020,06/25/2020,IRA 401K (closed) - 8275,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/961/C/T/G/Z Rollover TO XXX-XX5359,-,-,0.000,0.00,-0.35
06/24/2020,06/24/2020,IRA 401K (closed) - 8275,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA,MSPBNA,061871976,0.000,0.00,0.35
06/24/2020,06/24/2020,IRA SEP (closed) - 6986,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA,MSPBNA,061871976,0.000,0.00,0.08
06/24/2020,06/24/2020,IRA Standard - 5359,Transfer into Account,,,GUGGENHEIM MNGD FUTRS STRAT P IRA/961/C/T/G /Z FROM 144-158275,RYMFX,78356A491,285.303,0.00,"5,509.20"
06/24/2020,06/24/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,GUGGENHEIM MNGD FUTRS STRAT P IRA/961/C/T/G /Z TO 144-025359,RYMFX,78356A491,285.303,0.00,"-5,509.20"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,SPDR BBG BARC HIGH YIELD BND IRA/961/C/T/G/Z FROM 144-158275,JNK,78468R622,75.000,0.00,"7,730.25"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,SPDR BBG BARC HIGH YIELD BND IRA/961/C/T/G/Z TO 144-025359,JNK,78468R622,75.000,0.00,"-7,730.25"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ISHARES JP MORGAN EM BOND ETF IRA/961/C/T/G/Z FROM 144-158275,EMB,464288281,82.000,0.00,"8,950.30"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ISHARES JP MORGAN EM BOND ETF IRA/961/C/T/G/Z TO 144-025359,EMB,464288281,82.000,0.00,"-8,950.30"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,INVESCO DB COMMODITY INDEX TRA IRA/961/C/T/G/Z FROM 144-158275,DBC,46138B103,280.000,0.00,"3,472.00"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,INVESCO DB COMMODITY INDEX TRA IRA/961/C/T/G/Z TO 144-025359,DBC,46138B103,280.000,0.00,"-3,472.00"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ISHARES MSCI EAFE ETF IRA/961/C/T/G/Z FROM 144-158275,EFA,464287465,123.000,0.00,"7,639.53"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ISHARES MSCI EAFE ETF IRA/961/C/T/G/Z TO 144-025359,EFA,464287465,123.000,0.00,"-7,639.53"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ISHARES RUSSELL MID-CAP ETF IRA/961/C/T/G/Z FROM 144-158275,IWR,464287499,344.000,0.00,"18,586.32"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ISHARES RUSSELL MID-CAP ETF IRA/961/C/T/G/Z TO 144-025359,IWR,464287499,344.000,0.00,"-18,586.32"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ISHARES MSCI EMERGING MKTS ETF IRA/961/C/T/G/Z FROM 144-158275,EEM,464287234,125.000,0.00,"5,100.00"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ISHARES MSCI EMERGING MKTS ETF IRA/961/C/T/G/Z TO 144-025359,EEM,464287234,125.000,0.00,"-5,100.00"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ISHARES RUSSELL 2000 ETF IRA/961/C/T/G/Z FROM 144-158275,IWM,464287655,38.000,0.00,"5,434.00"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ISHARES RUSSELL 2000 ETF IRA/961/C/T/G/Z TO 144-025359,IWM,464287655,38.000,0.00,"-5,434.00"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,FORD MOTOR CO NEW IRA/961/C/T/G/Z FROM 144-158275,F,345370860,466.000,0.00,"2,865.90"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,FORD MOTOR CO NEW IRA/961/C/T/G/Z TO 144-025359,F,345370860,466.000,0.00,"-2,865.90"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,AMAZON COM INC IRA/961/C/T/G/Z FROM 144-158275,AMZN,023135106,10.000,0.00,"27,644.10"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,AMAZON COM INC IRA/961/C/T/G/Z TO 144-025359,AMZN,023135106,10.000,0.00,"-27,644.10"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,SPDR S&P 500 ETF TRUST IRA/961/C/T/G/Z FROM 144-158275,SPY,78462F103,75.000,0.00,"23,403.75"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,SPDR S&P 500 ETF TRUST IRA/961/C/T/G/Z TO 144-025359,SPY,78462F103,75.000,0.00,"-23,403.75"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,VANGUARD REAL ESTATE ETF IRA/961/C/T/G/Z FROM 144-158275,VNQ,922908553,127.000,0.00,"10,119.36"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,VANGUARD REAL ESTATE ETF IRA/961/C/T/G/Z TO 144-025359,VNQ,922908553,127.000,0.00,"-10,119.36"
06/23/2020,06/23/2020,IRA Standard - 5359,Transfer into Account,,,ENERGY SEL SECT SPDR FD IRA/961/C/T/G/Z FROM 144-158275,XLE,81369Y506,194.000,0.00,"7,622.26"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,Transfer out of Account,,,ENERGY SEL SECT SPDR FD IRA/961/C/T/G/Z TO 144-025359,XLE,81369Y506,194.000,0.00,"-7,622.26"
06/23/2020,06/23/2020,IRA Standard - 5359,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/961/C/T/G/Z Rollover FROM XXX-XX8275,-,-,0.000,0.00,"56,029.54"
06/23/2020,06/23/2020,IRA Standard - 5359,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/MAINT Transfer FROM XXX-XX6986,-,-,0.000,0.00,"12,988.16"
06/23/2020,06/23/2020,IRA 401K (closed) - 8275,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/961/C/T/G/Z Rollover TO XXX-XX5359,-,-,0.000,0.00,"-56,029.54"
06/23/2020,06/23/2020,IRA SEP (closed) - 6986,CASH TRANSFER,,,FUNDS TRANSFERRED IRA/MAINT Transfer TO XXX-XX5359,-,-,0.000,0.00,"-12,988.16"
06/22/2020,06/19/2020,old Roth IRA - 6410,LT Cap Gain Distribution,,,COLUMBIA LARGE CAP GW OPP A,NFEAX,19765H263,0.000,0.00,"1,905.40"
06/22/2020,06/19/2020,old Roth IRA - 6410,Dividend Reinvestment,,,COLUMBIA LARGE CAP GW OPP A REINVESTMENT AS OF DATE: 06/19/2020,NFEAX,19765H263,100.496,18.96,"-1,905.40"
06/19/2020,06/19/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES MSCI EAFE ETF,EFA,464287465,0.000,0.00,105.50
06/19/2020,06/19/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES RUSSELL MID-CAP ETF,IWR,464287499,0.000,0.00,56.17
06/19/2020,06/19/2020,old Roth IRA - 6410,Dividend,,,ISHARES RUSSELL MID-CAP ETF,IWR,464287499,0.000,0.00,40.49
06/19/2020,06/19/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES MSCI EMERGING MKTS ETF,EEM,464287234,0.000,0.00,28.79
06/19/2020,06/19/2020,old Roth IRA - 6410,Dividend,,,ISHARES US INDUSTRIALS ETF,IYJ,464287754,0.000,0.00,46.15
06/19/2020,06/19/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES RUSSELL 2000 ETF,IWM,464287655,0.000,0.00,17.70
06/19/2020,06/19/2020,old Roth IRA - 6410,Dividend,,,ISHARES RUSSELL 1000 GRW ETF,IWF,464287614,0.000,0.00,47.08
06/19/2020,06/19/2020,Checking - 6312,Automated Payment,,,CITI AUTOPAY     PAYMENT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-749.58
06/19/2020,06/19/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,831.05"
06/18/2020,06/18/2020,Checking - 6312,Check,1184,,DESIGN WEST MGMT Check # 1184,-,-,0.000,0.00,"-2,175.00"
06/16/2020,06/16/2020,Checking - 6312,Automated Payment,,,"COZY             AMTS:93,60 CHK ACCT ENDING IN 7180",-,-,0.000,0.00,-1.53
06/16/2020,06/16/2020,IRA Standard - 5359,Branch Deposit,,,FUNDS RECEIVED CONFIRM#20061625910010001,-,-,0.000,0.00,"4,095.55"
06/15/2020,06/15/2020,Checking - 6312,Automated Payment,,,BK OF AMER VISA  ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-963.98
06/15/2020,06/15/2020,old Roth IRA - 6410,Account Fee,,,ANNUAL MAINTENANCE FEE IRA/653 SERVICE YEAR 2020,-,-,0.000,0.00,-75.00
06/10/2020,06/10/2020,Checking - 6312,Direct Deposit,,,"DIRECT DEP FUNDS RECVD COZY AMTS:93,60",-,-,0.000,0.00,0.93
06/10/2020,06/10/2020,Checking - 6312,Direct Deposit,,,"DIRECT DEP FUNDS RECVD COZY AMTS:93,60",-,-,0.000,0.00,0.60
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,LEGG MASON CLEARBRIDGE SEL I CONFIRM NBR UNSOLICITED TRADE,LBFIX,52467P465,430.046,34.88,"-15,000.00"
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,BERKSHIRE HATHAWAY CL-B NEW UNSOLICITED TRADE,BRK'B,084670702,76.000,196.39,"-14,925.64"
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,AT&T INC UNSOLICITED TRADE,T,00206R102,307.000,32.48,"-9,970.62"
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,ALTRIA GROUP INC,MO,02209S103,177.000,42.37,"-7,499.26"
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,ENERGY SEL SECT SPDR FD UNSOLICITED TRADE,XLE,81369Y506,221.000,45.16,"-9,979.87"
06/09/2020,06/09/2020,Main Investment - 7145,Bought,,,VAIL RESORTS UNSOLICITED TRADE,MTN,91879Q109,39.000,192.02,"-7,488.97"
06/05/2020,06/05/2020,IRA 401K (closed) - 8275,Dividend,,,SPDR BBG BARC HIGH YIELD BND,JNK,78468R622,0.000,0.00,35.91
06/05/2020,06/05/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES JP MORGAN EM BOND ETF,EMB,464288281,0.000,0.00,27.60
06/05/2020,06/05/2020,Main Investment - 7145,Service Fee,,,ADV FEE 06/01-06/30,-,-,0.000,0.00,-245.36
06/05/2020,06/05/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,373.46"
06/02/2020,06/02/2020,Checking - 6312,Automated Payment,,,AMEX EPAYMENT    ACH PMT CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-114.95
06/01/2020,06/01/2020,Checking - 6312,Service Fee Adj,,,ATM FEE REVERSAL,-,-,0.000,0.00,3.00
06/01/2020,05/30/2020,Checking - 6312,Cash Advance,,2622,BOEING EMPLOYEE SEATTLE        WA Transaction Date : 05/30/2020,-,-,0.000,0.00,-503.00
05/29/2020,05/29/2020,IRA 401K (closed) - 8275,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA (Period 05/01-05/31),MSPBNA,061871976,0.000,0.00,0.47
05/29/2020,05/29/2020,old Roth IRA - 6410,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA (Period 05/01-05/31),MSPBNA,061871976,0.000,0.00,0.11
05/29/2020,05/29/2020,IRA SEP (closed) - 6986,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA (Period 05/01-05/31),MSPBNA,061871976,0.000,0.00,0.11
05/29/2020,05/29/2020,Main Investment - 7145,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 05/01-05/31),MSBNK,061870903,0.000,0.00,1.44
05/29/2020,05/29/2020,Checking - 6312,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 05/01-05/31),MSBNK,061870903,0.000,0.00,0.24
05/29/2020,05/29/2020,Checking - 6312,Check,1183,,RICARDO MARTINEZ Check # 1183,-,-,0.000,0.00,-850.00
05/29/2020,05/29/2020,Checking - 6312,Automated Payment,,,CAPITAL ONE      CRCARDPMT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-10.11
05/28/2020,05/28/2020,Checking - 6312,Automated Payment,,,PAYPAL           TRANSFER CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-1,000.00"
05/27/2020,05/27/2020,Checking - 6312,Automated Payment,,,PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-60.31
05/26/2020,05/26/2020,Checking - 6312,Mobile Deposit,,,FUNDS RECEIVED CONFIRM#3200002962417,-,-,0.000,0.00,270.00
05/22/2020,05/22/2020,Checking - 6312,Automated Payment,,,CLEANSCAPES      AUTO-PAY CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-108.73
05/22/2020,05/22/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,969.36"
05/19/2020,05/19/2020,Checking - 6312,Automated Payment,,,CITI AUTOPAY     PAYMENT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-740.63
05/14/2020,05/14/2020,old Roth IRA - 6410,Qualified Dividend,,,APPLE INC,AAPL,037833100,0.000,0.00,154.98
05/14/2020,05/14/2020,Checking - 6312,Check,1181,,DESIGN WEST MGMT Check # 1181,-,-,0.000,0.00,"-2,175.00"
05/13/2020,05/13/2020,Checking - 6312,Automated Payment,,,PAYPAL           INST XFER CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-300.00
05/13/2020,05/13/2020,Checking - 6312,Automated Payment,,,BK OF AMER VISA  ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,"-2,920.99"
05/08/2020,05/08/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,969.35"
05/07/2020,05/07/2020,IRA 401K (closed) - 8275,Dividend,,,SPDR BBG BARC HIGH YIELD BND,JNK,78468R622,0.000,0.00,38.77
05/07/2020,05/07/2020,IRA 401K (closed) - 8275,Dividend,,,ISHARES JP MORGAN EM BOND ETF,EMB,464288281,0.000,0.00,31.09
05/07/2020,05/07/2020,Main Investment - 7145,Service Fee,,,ADV FEE 05/01-05/31,-,-,0.000,0.00,-248.38
